time,flag_id,flag_x,flag_y,flag_z,o_x,o_y,o_z,target_dir_x,target_dir_y,target_dir_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,err_deg
2.755615,0,-5.7,-0.43,18.78,0.03542604,3.000957,0.03030486,-0.2881368,-0.1723647,0.9419488,-0.2673731,-0.1054647,0.9578041,4.115897
2.7724,0,-5.7,-0.43,18.78,0.03368562,3.000556,0.03067639,-0.2880627,-0.1723525,0.9419737,-0.2698196,-0.1091333,0.9567065,3.864067
2.794189,0,-5.7,-0.43,18.78,0.03158423,3.000556,0.03067639,-0.2879659,-0.1723578,0.9420024,-0.2698196,-0.1091333,0.9567065,3.862495
2.811279,0,-5.7,-0.43,18.78,0.03046847,3.00036,0.030903,-0.2879181,-0.1723529,0.9420179,-0.2737636,-0.1125067,0.9551941,3.604022
2.827942,0,-5.7,-0.43,18.78,0.02951276,3.00036,0.030903,-0.287874,-0.1723552,0.9420309,-0.2737636,-0.1125067,0.9551941,3.603479
2.849854,0,-5.7,-0.43,18.78,0.02686562,3.000232,0.03099214,-0.2877536,-0.1723563,0.9420675,-0.2713425,-0.1129753,0.9558294,3.617416
2.866882,0,-5.7,-0.43,18.78,0.02523869,3.000256,0.03097245,-0.2876782,-0.1723614,0.9420896,-0.2613696,-0.1151971,0.95834,3.724416
2.883545,0,-5.7,-0.43,18.78,0.02418731,3.000256,0.03097245,-0.2876298,-0.172364,0.942104,-0.2613696,-0.1151971,0.95834,3.723153
2.905762,0,-5.7,-0.43,18.78,0.02195343,3.000349,0.03081329,-0.2875244,-0.1723728,0.9421344,-0.2595649,-0.1135339,0.9590287,3.856712
2.922607,0,-5.7,-0.43,18.78,0.02093025,3.000349,0.03081329,-0.2874773,-0.1723754,0.9421484,-0.2595649,-0.1135339,0.9590287,3.855493
2.939514,0,-5.7,-0.43,18.78,0.01962522,3.000597,0.03059804,-0.2874136,-0.1723889,0.9421654,-0.2653453,-0.1118741,0.9576409,3.796224
2.961243,0,-5.7,-0.43,18.78,0.01714119,3.000709,0.03021456,-0.2872935,-0.1723974,0.9422004,-0.2655736,-0.1094198,0.9578611,3.921763
2.978516,0,-5.7,-0.43,18.78,0.01583897,3.000709,0.03021456,-0.2872335,-0.1724007,0.9422181,-0.2655736,-0.1094198,0.9578611,3.920615
2.994995,0,-5.7,-0.43,18.78,0.01480414,3.000709,0.03021456,-0.2871858,-0.1724032,0.9422321,-0.2655736,-0.1094198,0.9578611,3.919715
3.016968,0,-5.7,-0.43,18.78,0.01296356,3.000619,0.02986497,-0.2870964,-0.1724006,0.9422598,-0.2660216,-0.112762,0.9573491,3.726518
3.033936,0,-5.7,-0.43,18.78,0.01200943,3.000487,0.02943566,-0.2870469,-0.172393,0.9422764,-0.2645103,-0.1108271,0.9579936,3.863509
3.050415,0,-5.7,-0.43,18.78,0.01137702,3.000487,0.02943566,-0.2870177,-0.1723946,0.9422849,-0.2645103,-0.1108271,0.9579936,3.862952
3.072632,0,-5.7,-0.43,18.78,0.009772554,3.000468,0.02915663,-0.28694,-0.1723954,0.9423085,-0.2604129,-0.1133109,0.9588252,3.830219
